title,ingr_full,ingr_nums,ingr_cnt,ingr_qnt,ingr_units,ingr_num_total,ingr_wrds,ingr_wrds_cln
stuffed-french-toast-ii,8 slices oatnut bread,8,8,,slices,8.0,oatnut bread,oatnut bread
stuffed-french-toast-ii,"1/2 (8 ounce) package cream cheese, softened",1/2 8,1/2,8,ounces,4.0,package cream cheese softened,cream cheese
stuffed-french-toast-ii,1/2 cup seedless raspberry jam,1/2,1/2,,cups,0.5,seedless raspberry jam,raspberry jam
stuffed-french-toast-ii,"5 eggs, beaten",5,5,,,5.0,eggs beaten,eggs
stuffed-french-toast-ii,1/4 cup milk,1/4,1/4,,cups,0.25,milk,milk
stuffed-french-toast-ii,1 1/2 teaspoons almond extract,1 1/2,1/2,,teaspoons,0.5,almond extract,almond extract
stuffed-french-toast-ii,1 tablespoon butter,1,1,,tablespoons,1.0,butter,butter
kerrys-french-toast,1 cup softened cream cheese,1,1,,cups,1.0,softened cream cheese,cream cheese
kerrys-french-toast,1/2 cup brown sugar,1/2,1/2,,cups,0.5,brown sugar,brown sugar
kerrys-french-toast,1/4 teaspoon ground allspice,1/4,1/4,,teaspoons,0.25,ground allspice,allspice
kerrys-french-toast,1/2 teaspoon ground nutmeg,1/2,1/2,,teaspoons,0.5,ground nutmeg,nutmeg
kerrys-french-toast,1/2 teaspoon ground cinnamon,1/2,1/2,,teaspoons,0.5,ground cinnamon,cinnamon
kerrys-french-toast,8 (1/2 inch) slices egg bread,8 1/2,8,,slices,8.0,inch egg bread,egg bread
kerrys-french-toast,"6 extra large eggs, beaten",6,6,,large,6.0,extra eggs beaten,extra eggs
kerrys-french-toast,1/4 cup milk,1/4,1/4,,cups,0.25,milk,milk
kerrys-french-toast,1/4 cup butter,1/4,1/4,,cups,0.25,butter,butter
creme-brulee-french-toast,1/2 cup unsalted butter,1/2,1/2,,cups,0.5,unsalted butter,butter
creme-brulee-french-toast,1 cup packed brown sugar,1,1,,cups,1.0,packed brown sugar,brown sugar
creme-brulee-french-toast,2 tablespoons corn syrup,2,2,,tablespoons,2.0,corn syrup,corn syrup
creme-brulee-french-toast,6 (1-inch thick) slices french bread,6 1,6,1,slices,6.0,inch thick french bread,french bread
creme-brulee-french-toast,5 eggs,5,5,,,5.0,eggs,eggs
creme-brulee-french-toast,1 1/2 cups half-and-half cream,1 1/2,1/2,,cups,0.5,half and half cream,half and half cream
creme-brulee-french-toast,1 teaspoon vanilla extract,1,1,,teaspoons,1.0,vanilla extract,vanilla extract
creme-brulee-french-toast,1 teaspoon brandy-based orange liqueur (such as grand marnier\xae),1 \,1,,teaspoons,1.0,brandy based orange liqueur such as grand marnierxae,brandy based orange liqueur grand marnierxae
creme-brulee-french-toast,1/4 teaspoon salt,1/4,1/4,,teaspoons,0.25,salt,salt
almond-french-toast,1 cup slivered almonds,1,1,,cups,1.0,slivered almonds,almonds
almond-french-toast,3 eggs,3,3,,,3.0,eggs,eggs
almond-french-toast,1 cup milk,1,1,,cups,1.0,milk,milk
almond-french-toast,3 tablespoons all-purpose flour,3,3,,tablespoons,3.0,all purpose flour,flour
almond-french-toast,1/4 teaspoon salt,1/4,1/4,,teaspoons,0.25,salt,salt
almond-french-toast,1/2 teaspoon baking powder,1/2,1/2,,teaspoons,0.5,baking powder,baking powder
almond-french-toast,1/2 teaspoon almond extract,1/2,1/2,,teaspoons,0.5,almond extract,almond extract
almond-french-toast,1 teaspoon vanilla extract,1,1,,teaspoons,1.0,vanilla extract,vanilla extract
almond-french-toast,12 thick slices french bread,12,12,,slices,12.0,thick french bread,french bread
almond-french-toast,3 tablespoons canola oil,3,3,,tablespoons,3.0,canola oil,canola oil
almond-french-toast,"3 tablespoons butter, confectioners' sugar for dusting",3,3,,tablespoons,3.0,butter confectioners sugar for dusting,butter confectioners sugar
banana-stuffed-french-toast,"1 (1 pound) loaf french bread, cut into 1 inch slices",1 1 1,1,,slices,1.0,french bread cut into inch,french bread
banana-stuffed-french-toast,"2 bananas, peeled and sliced",2,2,,,2.0,bananas peeled and sliced,bananas and
banana-stuffed-french-toast,"3 eggs, beaten",3,3,,,3.0,eggs beaten,eggs
banana-stuffed-french-toast,1 teaspoon water,1,1,,teaspoons,1.0,water,water
banana-stuffed-french-toast,1 tablespoon milk,1,1,,tablespoons,1.0,milk,milk
banana-stuffed-french-toast,1 teaspoon vanilla extract,1,1,,teaspoons,1.0,vanilla extract,vanilla extract
banana-stuffed-french-toast,1 tablespoon orange liqueur,1,1,,tablespoons,1.0,orange liqueur,orange liqueur
banana-stuffed-french-toast,1 teaspoon grated orange zest,1,1,,teaspoons,1.0,grated orange zest,orange zest
banana-stuffed-french-toast,"1/4 cup butter, confectioners' sugar for dusting",1/4,1/4,,cups,0.25,butter confectioners sugar for dusting,butter confectioners sugar
stuffed-french-toast-with-fresh-berry-topping,"2 cups mixed fresh berries (strawberries, raspberries, blueberries and/or blackberries)",2 /,2,,cups,2.0,mixed fresh berries strawberries raspberries blueberries andor blackberries,mixed berries strawberries raspberries blueberries andor blackberries
stuffed-french-toast-with-fresh-berry-topping,2 tablespoons granulated sugar,2,2,,tablespoons,2.0,granulated sugar,granulated sugar
stuffed-french-toast-with-fresh-berry-topping,2/3 cup low-fat ricotta cheese,2/3,2/3,,cups,0.67,low fat ricotta cheese,fat ricotta cheese
stuffed-french-toast-with-fresh-berry-topping,1/4 cup strawberry preserves,1/4,1/4,,cups,0.25,strawberry preserves,strawberry
stuffed-french-toast-with-fresh-berry-topping,3 large eggs,3,3,,large,3.0,eggs,eggs
stuffed-french-toast-with-fresh-berry-topping,2/3 cup nestle\xae carnation\xae evaporated fat free milk,2/3 \ \,2/3,,cups,0.67,nestlexae carnationxae evaporated fat free milk,nestlexae evaporated milk
stuffed-french-toast-with-fresh-berry-topping,2 tablespoons packed brown sugar,2,2,,tablespoons,2.0,packed brown sugar,brown sugar
stuffed-french-toast-with-fresh-berry-topping,2 teaspoons vanilla extract,2,2,,teaspoons,2.0,vanilla extract,vanilla extract
stuffed-french-toast-with-fresh-berry-topping,"12 slices (about 3/4-inch thick) french bread, vegetable oil, powdered sugar, maple syrup, heated",12 3/4,12,,slices,12.0,about inch thick french bread vegetable oil powdered sugar maple syrup heated,french bread vegetable oil powdered sugar maple syrup
peanut-butter-and-jelly-french-toast,12 slices bread,12,12,,slices,12.0,bread,bread
peanut-butter-and-jelly-french-toast,3/4 cup peanut butter,3/4,3/4,,cups,0.75,peanut butter,peanut butter
peanut-butter-and-jelly-french-toast,6 tablespoons jelly or jam,6,6,,tablespoons,6.0,jelly or jam,jelly or jam
peanut-butter-and-jelly-french-toast,3 eggs,3,3,,,3.0,eggs,eggs
peanut-butter-and-jelly-french-toast,3/4 cup milk,3/4,3/4,,cups,0.75,milk,milk
peanut-butter-and-jelly-french-toast,1/4 teaspoon salt,1/4,1/4,,teaspoons,0.25,salt,salt
peanut-butter-and-jelly-french-toast,2 tablespoons butter or margarine,2,2,,tablespoons,2.0,butter or margarine,butter
german-french-toast,1 teaspoon butter,1,1,,teaspoons,1.0,butter,butter
german-french-toast,2 eggs,2,2,,,2.0,eggs,eggs
german-french-toast,1/2 cup milk,1/2,1/2,,cups,0.5,milk,milk
german-french-toast,8 slices white bread,8,8,,slices,8.0,white bread,white bread
german-french-toast,8 slices muenster cheese,8,8,,slices,8.0,muenster cheese,muenster cheese
holiday-morning-french-toast,1 cup brown sugar,1,1,,cups,1.0,brown sugar,brown sugar
holiday-morning-french-toast,"1/2 cup butter, melted",1/2,1/2,,cups,0.5,butter melted,butter
holiday-morning-french-toast,"3 teaspoons mccormick\xae ground cinnamon, divided",3 \,3,,teaspoons,3.0,mccormickxae ground cinnamon divided,cinnamon
holiday-morning-french-toast,"3 tart apples, such as granny smith, peeled, cored and thinly sliced",3,3,,,3.0,tart apples such as granny smith peeled cored and thinly sliced,apples and
holiday-morning-french-toast,1/2 cup dried cranberries or raisins,1/2,1/2,,cups,0.5,dried cranberries or raisins,dried cranberries or raisins
holiday-morning-french-toast,"1 loaf italian or french bread, cut into 1-inch slices",1 1,1,,slices,1.0,italian or french bread cut into inch,italian or french bread
holiday-morning-french-toast,6 large eggs,6,6,,large,6.0,eggs,eggs
holiday-morning-french-toast,1 1/2 cups milk,1 1/2,1/2,,cups,0.5,milk,milk
holiday-morning-french-toast,1 tablespoon mccormick\xae pure vanilla extract,1 \,1,,tablespoons,1.0,mccormickxae pure vanilla extract,vanilla extract
make-ahead-cinnamon-french-toast,1 loaf day-old french bread,1,1,,loaves,1.0,day old french bread,day french bread
