title,ingr_full,quant,units,ingr,category,subcategory
made-over-french-toast-with-spiced-pears,1/4 teaspoon ground ginger,0.25,teaspoons,ginger,flavor,bulb
made-over-french-toast-with-spiced-pears,4 slices bread,4.0,slices,bread,bread,
made-over-french-toast-with-spiced-pears,"1/4 cup toasted sliced almonds, for garnish",0.25,cups,almonds,nut,
crispy-baked-french-toast,3 large eggs,3.0,large,eggs,eggs,
crispy-baked-french-toast,1 1/4 cups milk,0.25,cups,milk,milkcream,
crispy-baked-french-toast,3/4 teaspoon sugar,0.75,teaspoons,sugar,sugar,
crispy-baked-french-toast,1 teaspoon vanilla extract,1.0,teaspoons,vanilla,flavor,spice
crispy-baked-french-toast,1 cup kikkoman panko bread crumbs,1.0,cups,kikkoman bread,bread,
crispy-baked-french-toast,8 slices dry white bread,8.0,slices,white bread,bread,
crispy-baked-french-toast,1/4 cup butter,0.25,cups,butter,fat,
crispy-baked-french-toast,"1/4 cup vegetable oil, butter, maple syrup",0.25,cups,oil,fat,
overnight-eggnog-french-toast,1 cup brown sugar,1.0,cups,brown sugar,sugar,
overnight-eggnog-french-toast,1/2 cup butter,0.5,cups,butter,fat,
overnight-eggnog-french-toast,2 tablespoons light corn syrup,2.0,tablespoons,syrup,syrup,
overnight-eggnog-french-toast,"1 loaf french bread, cut into 1-inch slices",1.0,slices,french bread,bread,
overnight-eggnog-french-toast,8 eggs,8.0,,eggs,eggs,
overnight-eggnog-french-toast,2 cups prepared eggnog,2.0,cups,eggnog,milkcream,
gils-brioche-french-toast,1 (1 pound) loaf rectangular brioche bread,1.0,pound,brioche,bread,
gils-brioche-french-toast,"3 cups fresh strawberries, hulled, divided",3.0,cups,strawberries,fruit,
gils-brioche-french-toast,2 tablespoons water,2.0,tablespoons,water,other,
gils-brioche-french-toast,"2 cups heavy cream, divided",2.0,cups,heavy cream,milkcream,
gils-brioche-french-toast,1 teaspoon vanilla extract (optional),1.0,teaspoons,vanilla,flavor,spice
gils-brioche-french-toast,1 tablespoon confectioners' sugar (optional),1.0,tablespoons,confectioners sugar,sugar,
gils-brioche-french-toast,6 eggs,6.0,,eggs,eggs,
gils-brioche-french-toast,2 tablespoons unsalted butter,2.0,tablespoons,butter,fat,
baked-french-toast-with-maple-syrup-and-granola,"1 (1 pound) loaf challah bread, sliced 1/2-inch thick",1.0,pound,challah,bread,
baked-french-toast-with-maple-syrup-and-granola,4 eggs,4.0,,eggs,eggs,
baked-french-toast-with-maple-syrup-and-granola,1 quart half-and-half cream,1.0,quarts,half and half,milkcream,
baked-french-toast-with-maple-syrup-and-granola,1/2 cup orange juice,0.5,cups,orange juice,flavor,liquid
baked-french-toast-with-maple-syrup-and-granola,1/2 cup white sugar,0.5,cups,sugar,sugar,
baked-french-toast-with-maple-syrup-and-granola,1/2 cup light brown sugar,0.5,cups,brown sugar,sugar,
baked-french-toast-with-maple-syrup-and-granola,1 teaspoon ground cinnamon,1.0,teaspoons,cinnamon,flavor,spice
baked-french-toast-with-maple-syrup-and-granola,1/2 teaspoon ground nutmeg,0.5,teaspoons,nutmeg,flavor,spice
baked-french-toast-with-maple-syrup-and-granola,1 cup granola cereal,1.0,cups,cereal,cereal,
baked-french-toast-with-maple-syrup-and-granola,1/2 cup maple syrup,0.5,cups,syrup,syrup,
baked-french-toast-with-maple-syrup-and-granola,"1/2 cup unsalted butter, melted",0.5,cups,butter,fat,
strawberry-cheesecake-french-toast,1 cup mashed fresh strawberries,1.0,cups,strawberries,fruit,
strawberry-cheesecake-french-toast,1/2 cup white sugar,0.5,cups,sugar,sugar,
strawberry-cheesecake-french-toast,2 tablespoons cornstarch,2.0,tablespoons,cornstarch,other,
strawberry-cheesecake-french-toast,1 cup water,1.0,cups,water,other,
strawberry-cheesecake-french-toast,1 cup milk,1.0,cups,milk,milkcream,
strawberry-cheesecake-french-toast,6 eggs,6.0,,eggs,eggs,
strawberry-cheesecake-french-toast,"1 (8 ounce) package cream cheese, softened",8.0,ounces,cream cheese,dairy,cheese
strawberry-cheesecake-french-toast,1 teaspoon vanilla extract,1.0,teaspoons,vanilla,flavor,spice
strawberry-cheesecake-french-toast,3/4 cup white sugar,0.75,cups,sugar,sugar,
strawberry-cheesecake-french-toast,"8 slices bread, cut in half diagonally",8.0,slices,bread,bread,
strawberry-cheesecake-french-toast,1 teaspoon butter,1.0,teaspoons,butter,fat,
strawberry-cheesecake-french-toast,8 sliced fresh strawberries,8.0,,strawberries,fruit,
strawberry-cheesecake-french-toast,1 tablespoon confectioners' sugar for dusting,1.0,tablespoons,confectioners sugar,sugar,
strawberry-cheesecake-french-toast,1 cup whipped cream,1.0,cups,whipped cream,spread,
best-oven-baked-french-toast,"1/2 cup butter, melted",0.5,cups,butter,fat,
best-oven-baked-french-toast,3/4 cup brown sugar,0.75,cups,brown sugar,sugar,
best-oven-baked-french-toast,1 tablespoon ground cinnamon,1.0,tablespoons,cinnamon,flavor,spice
best-oven-baked-french-toast,12 slices sandwich bread,12.0,slices,bread,bread,
best-oven-baked-french-toast,6 eggs,6.0,,eggs,eggs,
best-oven-baked-french-toast,1/2 cup milk,0.5,cups,milk,milkcream,
best-oven-baked-french-toast,1 pinch salt,1.0,pinches,salt,flavor,spice
cinnamon-accented-french-toast,"3 eggs, beaten",3.0,,eggs,eggs,
cinnamon-accented-french-toast,2 teaspoons white sugar,2.0,teaspoons,sugar,sugar,
cinnamon-accented-french-toast,1 teaspoon milk,1.0,teaspoons,milk,milkcream,
cinnamon-accented-french-toast,1 teaspoon ground cinnamon,1.0,teaspoons,cinnamon,flavor,spice
cinnamon-accented-french-toast,1/4 teaspoon salt,0.25,teaspoons,salt,flavor,spice
cinnamon-accented-french-toast,6 slices bread,6.0,slices,bread,bread,
caramel-french-toast,1 cup brown sugar,1.0,cups,brown sugar,sugar,
caramel-french-toast,1/2 cup butter,0.5,cups,butter,fat,
caramel-french-toast,2 tablespoons light corn syrup,2.0,tablespoons,syrup,syrup,
caramel-french-toast,1/4 cup pecan halves (optional),0.25,cups,pecan,nut,
caramel-french-toast,"1 apple, sliced (optional)",1.0,,apples,fruit,
caramel-french-toast,12 slices bread,12.0,slices,bread,bread,
caramel-french-toast,"6 eggs, beaten",6.0,,eggs,eggs,
caramel-french-toast,1 1/2 cups milk,0.5,cups,milk,milkcream,
caramel-french-toast,1 teaspoon vanilla extract,1.0,teaspoons,vanilla,flavor,spice
caramel-french-toast,1/2 teaspoon almond extract,0.5,teaspoons,almond extract,flavor,spice
caramel-french-toast,1/4 teaspoon salt,0.25,teaspoons,salt,flavor,spice
baked-french-toast-by-marzetti,1 cup marzetti's\xae old fashioned caramel dip,1.0,cups,caramel,spread,
