Title,Ingredients
eggnog-french-toast,"24 (3/4 inch thick) slices french bread
 9 eggs
 3 cups half-and-half cream
 1/3 cup sugar
 2 teaspoons vanilla extract
 1 1/2 teaspoons rum extract
 1/2 teaspoon ground nutmeg, confectioners' sugar"
baked-blueberry-french-toast,"24 slices day-old french bread
 1 (8 ounce) package reduced-fat cream cheese, cubed
 2/3 cup fat-free milk
 1/2 cup reduced-fat sour cream
 1/2 cup fat-free plain yogurt
 1/3 cup maple syrup
 1 teaspoon vanilla extract
 1 teaspoon ground nutmeg
 1/2 teaspoon ground cinnamon
 2 cups egg substitute
 2 cups fresh or frozen blueberries, confectioners' sugar"
stuffed-french-toast,"8 (1 inch thick) slices french bread
 2 (3 ounce) packages cream cheese, softened
 1/3 cup crushed pineapple, undrained
 1/2 cup chopped pecans
 4 eggs
 1 cup whipping cream
 1/2 teaspoon vanilla extract
 1 1/2 teaspoons ground ginger, apricot syrup:
 1 (12 ounce) jar apricot preserves
 1/3 cup orange juice"
crispy-french-toast,"1/2 cup egg substitute
 1/2 cup fat-free milk
 1/4 cup orange juice
 1 teaspoon vanilla extract
 1 dash ground nutmeg
 12 (3/4 inch thick) slices day-old french bread
 1 1/2 cups crushed cornflakes"
french-toast-bake,"12 (1 inch thick) slices day-old french bread
 5 eggs
 2 1/2 cups milk
 1 cup packed brown sugar, divided
 1 teaspoon vanilla extract
 1/2 teaspoon ground nutmeg
 1 cup chopped pecans
 1/4 cup butter or margarine, melted
 2 cups fresh or frozen blueberries"
peach-french-toast,"1 cup packed brown sugar
 1/2 cup butter or margarine
 2 tablespoons water
 1 (29 ounce) can sliced peaches, drained
 12 (3/4 inch thick) slices day-old french bread
 5 eggs
 1 1/2 cups milk
 1 tablespoon vanilla extract, ground cinnamon"
family-style-french-toast,"2/3 cup packed brown sugar
 1/2 cup butter or margarine, melted
 2 teaspoons ground cinnamon
 6 eggs, lightly beaten
 1 3/4 cups milk
 1 (1 pound) loaf french bread, cut into 1 inch slices, confectioners' sugar"
orange-french-toast,"6 eggs, lightly beaten
 3/4 cup orange juice
 1/2 cup half-and-half cream
 2 tablespoons sugar
 1 teaspoon vanilla extract
 1/2 teaspoon grated orange peel
 8 thick slices cinnamon bread
 1/4 cup butter or margarine, melted"
chocolate-french-toast,"3 eggs
 1 cup milk
 1 teaspoon sugar
 1 teaspoon vanilla extract
 1/4 teaspoon salt
 12 slices day old bread, crusts removed
 3 (1.55 ounce) bars milk chocolate candy bars*, halved
 2 tablespoons butter or margarine, confectioners' sugar"
french-toast-fingers,"2 eggs
 1/4 cup milk
 1/4 teaspoon salt
 1/2 cup strawberry preserves
 8 slices day-old white bread, confectioners' sugar"
strawberry-banana-french-toast,"10 (1 inch thick) slices day-old french bread
 5 eggs, lightly beaten
 3/4 cup milk
 1 tablespoon vanilla extract
 1/4 teaspoon baking powder
 1 (16 ounce) package frozen sweetened whole strawberries
 4 firm bananas, sliced
 1 cup sugar
 1 tablespoon pumpkin pie or apple pie spice
 1 tablespoon cinnamon sugar"
overnight-caramel-french-toast,"1 cup packed brown sugar
 1/2 cup butter
 2 tablespoons light corn syrup
 12 slices bread
 1/4 cup sugar
 1 teaspoon ground cinnamon, divided
 6 eggs
 1 1/2 cups milk
 1 teaspoon vanilla extract"
freezer-french-toast,"4 eggs
 1 cup milk
 2 tablespoons sugar
 1 teaspoon vanilla extract
 1/4 teaspoon ground nutmeg
 10 (3/4 inch thick) slices day-old french bread
 1 tablespoon butter or stick margarine, melted"
cheddar-french-toast-with-dried-fruit-syrup,"1 1/2 cups maple syrup
 1 (7 ounce) bag diced dried mixed fruit
 1/4 cup chopped walnuts
 12 slices italian or french bread (cut diagonally 1-inch thick)
 1 1/3 cups shredded sharp cheddar cheese
 4 eggs
 2 cups milk
 1/4 teaspoon salt"
blueberry-french-toast-cobbler,"4 eggs
 1/2 cup milk
 1 teaspoon vanilla extract
 1/4 teaspoon baking powder
 10 (3/4 inch thick) slices day-old french bread
 4 1/2 cups unsweetened frozen blueberries
 1/2 cup sugar
 2 tablespoons butter or margarine, melted
 1 teaspoon cornstarch
 1 teaspoon ground cinnamon
 1 tablespoon butter or margarine, softened"
baked-french-toast-with-home-style-syrup,"4 eggs, lightly beaten
 1 cup milk
 2 teaspoons vanilla extract
 1 teaspoon salt
 12 slices day-old french bread
 1 1/4 cups crushed cornflakes
 1 tablespoon butter or margarine, syrup:
 1 1/2 cups sugar
 2/3 cup light corn syrup
 1/2 cup water
 1 teaspoon ground cinnamon
 1 (5 ounce) can evaporated milk
 1/2 teaspoon butter flavoring
 1/2 teaspoon almond extract"
apple-cinnamon-baked-french-toast,"10 (3/4 inch thick) slices day-old french bread
 6 eggs, lightly beaten
 2 3/4 cups milk
 2/3 cup sugar, divided
 1 tablespoon vanilla extract
 4 medium apples - peeled, cored and thinly sliced
 2 teaspoons ground cinnamon
 3/4 teaspoon ground nutmeg
 1 tablespoon butter or margarine"
overnight-french-toast,"9 eggs
 3 cups light cream
 1/3 cup sugar
 1 1/2 teaspoons rum flavored extract (optional)
 1 1/2 teaspoons vanilla extract
 1/2 teaspoon ground nutmeg
 24 (3/4 inch thick) slices french bread, praline syrup:
 1 1/2 cups packed brown sugar
 1/2 cup light corn syrup
 1/2 cup water
 1/2 cup chopped pecans, toasted
 2 tablespoons butter or margarine"
