Title,Ingredients
cinnamon-french-toast-bake,"1/4 cup land o lakes\xae butter, melted
 2 (12.4 ounce) cans pillsbury\xae refrigerated cinnamon rolls with icing
 6 land o lakes\xae eggs
 1/2 cup heavy whipping cream
 2 teaspoons ground cinnamon
 2 teaspoons vanilla
 1 cup fisher\xae chef's naturals\xae chopped pecans
 1 cup maple syrup, garnish:, icing from cinnamon rolls, powdered sugar
 1/2 cup maple syrup (optional)"
french-toast-roll-ups,"1 (8 ounce) package cream cheese, softened
 1 egg yolk
 1 cup white sugar, divided
 24 slices white bread, crusts removed
 1 tablespoon ground cinnamon
 3 tablespoons butter, melted"
croissant-french-toast,"cooking spray
 3 eggs
 2 cups half-and-half
 1/4 teaspoon vanilla extract
 1 pinch ground cinnamon
 6 croissants, split
 1 tablespoon confectioners' sugar"
banana-roll-french-toast,"2 teaspoons vegetable oil
 8 large slices whole wheat bread
 2 bananas, mashed
 1 (8 ounce) package cream cheese, softened
 2 tablespoons white sugar
 1/4 teaspoon ground cinnamon
 2 eggs"
apple-and-cheddar-french-toast-sandwich,"2 eggs
 1 1/2 tablespoons milk
 1 teaspoon herbes de provence, or to taste
 4 slices day-old artisan-style bread
 2 tablespoons butter
 1 cup fresh spinach, or to taste
 1/2 granny smith apple, cored and thinly sliced
 4 slices cheddar cheese, or to taste"
french-toast-pancakes,"2 teaspoons vegetable oil
 1 cup all-purpose flour
 1 tablespoon white sugar
 1 teaspoon baking powder
 1/2 teaspoon baking soda
 1/4 teaspoon salt
 1 pinch ground nutmeg, or to taste
 1 pinch ground cinnamon, or to taste
 1 cup milk
 1 egg
 2 tablespoons vegetable oil
 1 dash vanilla extract, or to taste"
baked-apple-french-toast-casserole,"cooking spray
 4 eggs, beaten
 1/2 cup half-and-half
 1/2 cup milk
 1 tablespoon white sugar
 1 tablespoon vanilla extract
 1 (8 ounce) loaf french bread, cut into small cubes
 1/4 cup butter
 3 granny smith apples - peeled, cored, and cut into small dice
 1/4 cup brown sugar
 1 teaspoon ground cinnamon"
smoked-salmon-french-toast-sandwich,"2 eggs
 1 1/2 tablespoons milk
 1 pinch herbes de provence, or to taste
 2 tablespoons butter
 4 slices day-old french bread
 1/2 cup fresh spinach leaves, or to taste, cream cheese
 4 ounces smoked salmon, or more to taste"
chia-seed-coconut-and-raspberry-french-toast-sticks,"3 thick slices whole grain bread
 1/4 cup coconut
 1/4 cup chia seeds
 1/4 cup half-and-half
 2 eggs
 1 tablespoon white sugar
 1 1/2 teaspoons ground cinnamon
 1 teaspoon vanilla extract
 1/2 teaspoon salt
 2 teaspoons unsalted butter, or as needed
 1/2 cup fresh raspberries
 1/2 cup vanilla yogurt
 2 ounces maple syrup, or to taste"
easy-french-toast-casserole,"1 cup brown sugar
 1/2 cup butter
 1 (8 ounce) loaf crusty french bread, cut into bite-size pieces, or as needed
 2 cups milk
 6 eggs
 2 teaspoons vanilla extract
 1 pinch ground cinnamon, or to taste
 1 tablespoon brown sugar, or as needed"
